"enso","params","EP","NA","NI","SI","SP","WP"
"Nina","a",-7.15623959398351,2.10025070514997,6.05151101537048,-9.06932751657773,1.91106946085401,-0.426309868569556
"Nina","b",17.1706842305318,2.62026954159797,3.88569858260452,21.6711152673858,0.52090430102329,21.7392629053
"Nina","c",-1.17273649793662,-3.25408047226745,-0.31424978040162,1.00622127970646,4.26677509728084,-1.1724647532704
"Nina","d",0.522119088759293,0.195233587791493,5.28315052576362,0.59549583672068,0.879258187919885,0.345879727220943
"Neutral","a",-6.96519538017368,0.594564792111342,6.0657532569778,-5.62301756968359,-0.504390203741779,-0.074812119727964
"Neutral","b",18.2276109527228,3.86494904560171,0.203887403834028,17.0730121674324,4.65169552399175,23.8338639578114
"Neutral","c",-1.30089946550527,-2.57208071424379,-4.33494574290558,1.11376706550775,2.04202716251048,-1.20544755992003
"Neutral","d",0.48032278711308,0.139347131957935,-0.721461258432487,0.775510099498829,0.469679883629926,0.275350639255243
"Nino","a",-3.51457570143127,2.54612884840257,3.56148631430923,-1.57238394807333,-4.32123039559372,-11.3392455757155
"Nino","b",10.5015386900827,0.474060040189194,0.160129590324873,9.61013588383176,12.4080885569891,31.3747410150911
"Nino","c",-1.67484744660839,-4.87411693407704,-4.8290952210058,1.46879204841731,1.16878965773962,-1.05775134932603
"Nino","d",0.660886565418501,0.153270860038035,-0.799859287300985,0.617283369240082,0.653011967795122,0.103404114695442
